kind,ok,status,dur_s,tokens,bytes,error
stream,0,,0.0887,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.0845,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.0975,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.1027,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
summary,0,,0.1220,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.1168,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
health,0,,0.0950,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.0940,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.1043,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.0983,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.3446,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.0991,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.0974,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
summary,0,,0.0903,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.0968,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.0983,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.0908,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.0971,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.0997,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.0929,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.0957,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
summary,0,,0.1063,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.1042,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
summary,0,,0.1063,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.1125,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.1006,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.1027,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.0911,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.0913,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.0897,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
health,0,,0.0906,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
summary,0,,0.0933,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.0880,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.0869,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.1046,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.1019,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.0888,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.1023,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.1078,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.1115,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.1045,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.1202,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.0958,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.0876,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.0965,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.0930,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.0982,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
summary,0,,0.0931,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.1002,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
summary,0,,0.0987,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.0991,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
health,0,,0.0943,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.1139,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.1874,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
summary,0,,0.0906,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.0954,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.0905,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.0890,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.0889,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.1004,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.1105,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.1210,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.0888,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
summary,0,,0.0930,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.0931,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.0871,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
summary,0,,0.0958,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.1863,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.0904,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.0880,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
health,0,,0.0891,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.8487,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.7335,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.9818,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.7154,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
summary,0,,0.5582,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.5178,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.2508,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.0916,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.0946,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.1039,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
summary,0,,0.1091,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.0880,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.0957,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
health,0,,0.0912,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.5044,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
summary,0,,0.3811,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.3007,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
summary,0,,0.3414,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.5668,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.1213,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.1043,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
summary,0,,0.1097,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.0909,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
summary,0,,0.1047,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.0897,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.0954,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.0891,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.1014,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.0971,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.0936,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.0996,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
health,0,,0.1066,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
summary,0,,0.0958,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.0912,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
summary,0,,0.0931,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.0984,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.1011,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.1171,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
summary,0,,0.0895,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.0919,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.0951,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.1007,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.1083,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.0915,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.0928,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.0900,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.1048,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.1074,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
